130	h5nc	5C						
-	1	34	2	2	918	318	-11955	0
-	1	34	3	9	14	284	4828	0
-	1	34	3	8	41	313	13452	0
-	1	34	4	2	305	25	15015	0
-	1	34	4	6	462	41	19911	0
-	1	34	4	3	938	286	-11842	0
#		Mission_35						
-	1	35	0	2	353	308	2	0
-	1	35	0	8	550	187	3	0
-	1	35	0	0	194	519	3	0
-	1	35	0	3	422	321	2	0
-	1	35	0	3	492	498	1	0
-	1	35	1	2	467	55	15431	0
-	1	35	1	0	916	265	-11871	0
-	1	35	1	2	45	320	10285	0
-	1	35	2	8	940	324	-9930	0
-	1	35	2	2	649	28	16386	0
-	1	35	3	0	269	34	19796	0
#		Mission_36						
-	1	36	0	1	413	124	3	0
-	1	36	0	3	260	435	2	0
-	1	36	0	4	774	526	3	0
-	1	36	0	2	174	291	1	0
-	1	36	1	0	951	266	-8661	0
-	1	36	2	3	913	215	-7318	0
-	1	36	3	9	930	309	-11777	0
-	1	36	3	8	55	335	9773	0
-	1	36	3	0	929	228	-5264	0
-	1	36	4	2	212	16	14254	0
-	1	36	4	4	480	16	20290	0
-	1	36	4	4	23	282	7566	0
#		Mission_37						
-	1	37	0	1	644	471	2	0
-	1	37	0	0	678	309	1	0
-	1	37	0	0	599	449	2	0
-	1	37	0	6	328	374	1	0
-	1	37	0	1	415	440	3	0
-	1	37	1	2	941	221	-12374	0
-	1	37	1	2	56	276	10173	0
#		Mission_38						
-	1	38	0	5	197	115	1	0
-	1	38	0	4	170	245	1	0
-	1	38	0	4	532	298	2	0
-	1	38	1	7	401	36	18257	0
-	1	38	2	8	495	29	18383	0
#		Mission_39						
-	1	39	0	0	405	435	1	0
-	1	39	0	4	460	366	3	0
-	1	39	0	2	790	165	1	0
-	1	39	0	0	281	191	2	0
-	1	39	1	8	58	265	7021	0
-	1	39	1	6	42	255	9142	0
-	1	39	2	7	10	298	6255	0
-	1	39	2	3	906	281	-9834	0
-	1	39	2	5	392	5	20688	0
-	1	39	3	8	927	242	-13020	0
-	1	39	4	4	18	245	5348	0
#		Mission_40						
-	1	40	0	2	393	394	2	0
-	1	40	0	2	119	145	1	0
-	1	40	0	0	373	140	3	0
-	1	40	0	2	445	515	1	0
-	1	40	0	0	281	517	1	0
-	1	40	1	2	40	308	11158	0
-	1	40	1	0	915	201	-7235	0
-	1	40	1	0	37	331	6054	0
-	1	40	2	3	909	265	-5798	0
#		Mission_41						
-	1	41	0	1	331	407	3	0
-	1	41	0	9	483	427	2	0
-	1	41	1	2	949	268	-10066	0
-	1	41	1	1	13	232	7840	0
-	1	41	1	1	679	10	13582	0
-	1	41	2	2	942	241	-6260	0
-	1	41	2	9	35	276	11384	0
-	1	41	2	7	39	228	10136	0
#		Mission_42						
-	1	42	0	5	574	105	1	0
-	1	42	0	8	315	423	2	0
-	1	42	0	7	166	484	2	0
-	1	42	0	7	540	276	1	0
-	1	42	1	2	949	269	-11758	0
-	1	42	1	6	7	258	9820	0
#		Mission_43						
-	1	43	0	7	326	179	1	0
-	1	43	0	8	395	158	2	0
-	1	43	0	3	634	217	2	0
-	1	43	0	4	308	293	3	0
-	1	43	0	3	281	277	2	0
-	1	43	1	2	902	264	-9738	0
-	1	43	2	3	907	226	-6511	0
-	1	43	3	0	41	221	8011	0
-	1	43	3	0	208	20	17246	0
-	1	43	3	2	486	15	19796	0
-	1	43	4	9	258	32	15574	0
-	1	43	4	9	929	235	-5422	0
-	1	43	4	3	36	256	6215	0
#		Mission_44						
-	1	44	0	0	231	468	1	0
-	1	44	0	0	809	123	3	0
-	1	44	0	9	312	219	1	0
-	1	44	0	7	492	362	2	0
-	1	44	0	5	505	155	2	0
-	1	44	1	9	29	245	9405	0
-	1	44	2	5	416	17	18553	0
#		Mission_45						
-	1	45	0	3	527	301	3	0
-	1	45	0	6	362	261	3	0
-	1	45	0	1	254	481	2	0
-	1	45	0	6	224	355	3	0
-	1	45	0	9	305	165	2	0
-	1	45	1	5	13	214	12015	0
-	1	45	1	2	752	26	15010	0
-	1	45	1	9	49	210	10543	0
#		Mission_46						
-	1	46	0	5	838	251	3	0
-	1	46	0	6	527	124	2	0
-	1	46	0	1	505	209	3	0
-	1	46	1	1	45	328	12926	0
-	1	46	1	1	32	280	6917	0
-	1	46	2	6	456	10	17162	0
-	1	46	2	4	50	275	6888	0
-	1	46	3	9	55	243	12936	0
-	1	46	3	5	754	57	17878	0
#		Mission_47						
-	1	47	0	1	746	390	1	0
-	1	47	0	6	496	125	3	0
-	1	47	0	2	809	333	1	0
-	1	47	0	4	371	355	1	0
-	1	47	0	7	238	164	2	0
-	1	47	1	9	924	203	-6197	0
-	1	47	1	0	302	7	17947	0
-	1	47	1	5	50	227	6098	0
#		Mission_48						
-	1	48	0	1	325	455	3	0
-	1	48	0	6	300	227	1	0
-	1	48	0	9	716	490	3	0
-	1	48	0	2	789	113	2	0
-	1	48	1	0	17	333	10270	0
-	1	48	1	9	468	19	16739	0
-	1	48	1	0	25	285	7514	0
-	1	48	2	9	941	283	-5581	0
-	1	48	2	9	924	225	-12758	0
-	1	48	2	2	950	331	-11072	0
-	1	48	3	9	939	247	-9470	0
-	1	48	3	0	595	15	21612	0
-	1	48	3	0	5	210	5366	0
#		World_02						
#		Mission_01						
-	2	1	0	4	697	517	1	0
-	2	1	0	9	656	379	1	0
-	2	1	1	4	956	328	-12763	0
-	2	1	1	2	923	330	-12518	0
-	2	1	2	6	955	307	-5531	0
-	2	1	2	2	676	29	15463	0
#		Mission_02						
-	2	2	0	0	122	128	3	0
-	2	2	0	8	694	266	1	0
-	2	2	0	6	794	270	1	0
-	2	2	0	5	105	270	2	0
-	2	2	0	3	246	121	1	0
-	2	2	1	5	906	208	-13249	0
-	2	2	1	5	587	59	17581	0
-	2	2	2	8	690	14	14258	0
-	2	2	2	5	20	287	5118	0
-	2	2	2	8	920	290	-10850	0
#		Mission_03						
-	2	3	0	4	744	109	3	0
-	2	3	0	3	102	486	1	0
-	2	3	1	5	466	23	18012	0
-	2	3	1	9	16	340	7831	0
-	2	3	2	4	588	9	21568	0
-	2	3	2	3	918	301	-5017	0
-	2	3	3	0	38	335	5689	0
-	2	3	3	8	560	26	20249	0
#		Mission_04						
-	2	4	0	8	786	160	1	0
-	2	4	0	4	462	290	1	0
-	2	4	1	1	7	265	7475	0
-	2	4	1	1	910	307	-10960	0
#		Mission_05						
-	2	5	0	4	685	150	1	0
-	2	5	0	2	307	427	1	0
-	2	5	0	6	678	191	3	0
-	2	5	0	9	293	203	3	0
-	2	5	1	1	31	296	12715	0
-	2	5	1	7	48	316	9794	0
-	2	5	1	8	40	286	9780	0
-	2	5	2	1	691	45	20869	0
-	2	5	2	5	310	6	22272	0
-	2	5	3	7	23	319	10047	0
-	2	5	3	3	57	242	12300	0
#		Mission_06						
-	2	6	0	0	284	506	3	0
-	2	6	0	9	173	290	2	0
-	2	6	1	6	17	239	4829	0
-	2	6	1	5	17	279	5207	0
-	2	6	2	2	569	41	16094	0
-	2	6	3	4	661	42	13924	0
#		Mission_07						
-	2	7	0	8	705	195	2	0
-	2	7	0	7	672	399	3	0
-	2	7	1	3	916	302	-12324	0
-	2	7	1	7	924	268	-5692	0
-	2	7	1	4	456	20	17626	0
-	2	7	2	7	47	290	7550	0
-	2	7	2	4	434	8	15371	0
-	2	7	2	5	721	57	15295	0
-	2	7	3	2	564	31	15498	0
-	2	7	3	0	906	215	-7551	0
-	2	7	3	4	933	321	-6541	0
-	2	7	4	5	559	13	16056	0
#		Mission_08						
-	2	8	0	9	537	110	2	0
-	2	8	0	5	424	211	3	0
-	2	8	0	1	490	265	3	0
-	2	8	1	7	918	271	-9146	0
-	2	8	2	7	727	30	22024	0
-	2	8	2	5	49	223	9910	0
-	2	8	2	6	278	46	14898	0
-	2	8	3	0	363	33	21984	0
-	2	8	3	5	931	227	-5620	0
#		Mission_09						
-	2	9	0	7	748	457	1	0
-	2	9	0	8	578	199	1	0
-	2	9	0	4	576	282	3	0
-	2	9	1	0	950	274	-10888	0
-	2	9	2	0	15	330	10892	0
-	2	9	2	0	29	333	12442	0
-	2	9	2	9	454	48	18099	0
#		Mission_10						
-	2	10	0	9	513	187	2	0
-	2	10	0	2	106	523	3	0
-	2	10	0	4	731	510	1	0
-	2	10	1	1	926	268	-10827	0
-	2	10	1	1	51	234	9320	0
-	2	10	1	6	929	334	-9367	0
-	2	10	2	6	922	223	-4937	0
-	2	10	2	3	947	315	-5008	0
-	2	10	2	6	264	52	18701	0
-	2	10	3	5	13	274	8997	0
-	2	10	3	2	938	233	-11141	0
#		Mission_11						
-	2	11	0	2	349	530	1	0
-	2	11	0	4	357	284	1	0
-	2	11	0	5	635	286	3	0
-	2	11	0	6	424	347	2	0
-	2	11	1	8	502	4	16036	0
-	2	11	1	5	40	206	5163	0
-	2	11	1	1	351	8	15724	0
-	2	11	2	4	929	254	-5064	0
-	2	11	2	2	388	17	15017	0
-	2	11	2	0	26	286	6894	0
-	2	11	3	3	284	58	20177	0
-	2	11	3	2	908	231	-9350	0
-	2	11	4	1	269	20	14580	0
#		Mission_12						
-	2	12	0	9	770	157	1	0
-	2	12	0	1	597	188	1	0
-	2	12	0	7	331	231	1	0
-	2	12	1	9	38	232	8776	0
-	2	12	1	4	930	287	-6781	0
-	2	12	1	9	51	268	12200	0
#		Mission_13						
-	2	13	0	2	539	472	2	0
-	2	13	0	8	167	323	1	0
-	2	13	0	3	237	100	3	0
-	2	13	0	1	636	369	1	0
-	2	13	1	4	37	270	5037	0
-	2	13	1	1	924	291	-13330	0
-	2	13	2	9	21	200	4928	0
#		Mission_14						
-	2	14	0	9	539	359	1	0
-	2	14	0	8	303	228	3	0
-	2	14	0	4	415	403	3	0
-	2	14	0	1	772	200	2	0
-	2	14	0	0	152	347	1	0
-	2	14	1	5	942	337	-4768	0
-	2	14	1	0	455	55	14094	0
-	2	14	1	9	460	58	16382	0
#		Mission_15						
-	2	15	0	2	195	254	2	0
-	2	15	0	4	629	171	3	0
-	2	15	0	7	704	298	1	0
-	2	15	0	7	418	126	3	0
-	2	15	1	0	945	247	-9987	0
-	2	15	1	1	209	19	19109	0
-	2	15	2	1	557	6	18699	0
#		Mission_16						
-	2	16	0	8	439	438	3	0
-	2	16	0	1	784	339	1	0
-	2	16	0	6	151	429	3	0
-	2	16	0	3	676	357	3	0
-	2	16	0	9	242	171	2	0
-	2	16	1	6	927	264	-8955	0
-	2	16	1	4	19	320	4511	0
-	2	16	2	0	589	30	22218	0
-	2	16	2	6	917	308	-10779	0
-	2	16	3	4	583	39	15391	0
-	2	16	4	3	15	273	12887	0
-	2	16	4	6	396	45	20621	0
-	2	16	4	8	53	269	6433	0
#		Mission_17						
-	2	17	0	7	166	229	2	0
-	2	17	0	7	460	186	3	0
-	2	17	0	0	393	219	2	0
-	2	17	1	1	949	215	-11267	0
-	2	17	2	6	213	55	19936	0
-	2	17	2	5	22	320	6297	0
-	2	17	3	1	926	290	-11602	0
-	2	17	3	1	918	336	-8283	0
-	2	17	4	1	340	60	16239	0
-	2	17	4	0	45	214	11289	0
#		Mission_18						
-	2	18	0	7	125	209	2	0
-	2	18	0	8	765	183	3	0
-	2	18	0	8	168	538	1	0
-	2	18	0	9	381	163	3	0
-	2	18	1	5	504	37	19012	0
-	2	18	2	3	251	59	21398	0
-	2	18	2	8	930	246	-10234	0
-	2	18	3	3	373	52	16371	0
-	2	18	3	1	489	57	18287	0
-	2	18	3	1	32	267	5129	0
#		Mission_19						
-	2	19	0	5	735	255	2	0
-	2	19	0	1	578	224	2	0
-	2	19	0	6	436	385	1	0
-	2	19	0	7	147	116	2	0
-	2	19	1	3	51	215	8657	0
-	2	19	1	3	36	275	9280	0
-	2	19	1	2	248	28	20246	0
-	2	19	2	3	545	43	19566	0
-	2	19	2	3	913	327	-13378	0
-	2	19	2	6	21	293	10551	0
#		Mission_20						
-	2	20	0	1	610	350	1	0
-	2	20	0	1	510	459	3	0
-	2	20	0	7	517	445	3	0
-	2	20	1	4	917	255	-5125	0
-	2	20	1	7	43	273	13152	0
-	2	20	1	9	447	36	21671	0
#		Mission_21						
-	2	21	0	0	339	340	1	0
-	2	21	0	5	193	519	2	0
-	2	21	1	3	955	240	-11829	0
-	2	21	2	8	293	8	21039	0
-	2	21	3	5	35	269	7327	0
-	2	21	3	1	452	24	15624	0
-	2	21	3	7	278	14	18742	0
#		Mission_22						
-	2	22	0	1	126	299	3	0
-	2	22	0	8	331	538	3	0
-	2	22	0	8	656	102	1	0
-	2	22	0	5	324	299	3	0
-	2	22	1	9	518	9	18693	0
-	2	22	2	7	930	309	-9931	0
-	2	22	2	8	388	46	16838	0
-	2	22	2	3	956	261	-11367	0
-	2	22	3	7	935	247	-11067	0
-	2	22	3	3	324	39	18231	0
-	2	22	3	1	938	277	-9239	0
-	2	22	4	1	685	20	14927	0
-	2	22	4	5	48	251	6511	0
-	2	22	4	5	58	301	9523	0
#		Mission_23						
-	2	23	0	5	299	456	3	0
-	2	23	0	6	325	182	2	0
-	2	23	0	3	674	289	1	0
-	2	23	0	1	673	531	3	0
-	2	23	1	9	681	15	20057	0
-	2	23	1	6	901	293	-8818	0
#		Mission_24						
-	2	24	0	1	163	369	2	0
-	2	24	0	8	674	137	1	0
-	2	24	1	4	463	53	13658	0
-	2	24	2	9	372	15	15592	0
-	2	24	3	5	913	313	-4772	0
#		Mission_25						
-	2	25	0	0	684	363	1	0
-	2	25	0	9	574	323	1	0
-	2	25	0	6	310	426	2	0
-	2	25	1	0	438	58	21576	0
-	2	25	2	9	944	208	-10500	0
-	2	25	2	1	903	239	-11510	0
#		Mission_26						
-	2	26	0	8	277	496	2	0
-	2	26	0	9	826	128	1	0
-	2	26	0	4	758	470	1	0
-	2	26	1	2	590	12	17679	0
-	2	26	1	6	934	331	-9834	0
-	2	26	1	3	26	222	4971	0
-	2	26	2	7	410	19	17480	0
-	2	26	2	1	917	310	-7825	0
-	2	26	3	7	12	307	12154	0
-	2	26	3	1	924	312	-5350	0
-	2	26	4	5	955	319	-9125	0
-	2	26	4	1	900	205	-12406	0
#		Mission_27						
-	2	27	0	4	368	229	2	0
-	2	27	0	9	217	441	3	0
-	2	27	0	6	483	443	3	0
-	2	27	0	8	754	126	1	0
-	2	27	1	2	521	29	18948	0
-	2	27	2	1	592	51	18409	0
-	2	27	2	3	588	49	16536	0
-	2	27	3	9	535	44	15504	0
-	2	27	3	0	209	56	16786	0
-	2	27	4	7	947	210	-8633	0
#		Mission_28						
-	2	28	0	2	760	105	3	0
-	2	28	0	8	338	153	2	0
-	2	28	0	0	269	194	1	0
-	2	28	1	2	722	20	15880	0
-	2	28	2	6	556	48	22474	0
-	2	28	2	1	945	294	-12021	0
-	2	28	3	6	643	6	20891	0
-	2	28	3	1	24	301	7938	0
-	2	28	4	5	395	15	14244	0
-	2	28	4	3	432	6	13691	0
#		Mission_29						
-	2	29	0	3	312	334	3	0
-	2	29	0	7	200	263	1	0
-	2	29	0	9	603	244	2	0
-	2	29	0	2	345	365	1	0
-	2	29	0	2	385	335	1	0
-	2	29	1	9	641	9	22121	0
-	2	29	2	2	33	336	5655	0
-	2	29	2	9	945	325	-6655	0
-	2	29	2	7	929	222	-12626	0
-	2	29	3	7	904	321	-7682	0
-	2	29	4	8	944	262	-5574	0
-	2	29	4	1	930	339	-12786	0
-	2	29	4	5	703	53	15395	0
#		Mission_30						
-	2	30	0	9	634	312	1	0
-	2	30	0	0	339	266	3	0
-	2	30	1	6	20	207	8977	0
-	2	30	2	3	949	317	-5356	0
-	2	30	2	2	577	23	18156	0
-	2	30	2	6	934	335	-9845	0
#		Mission_31						
-	2	31	0	9	301	235	1	0
-	2	31	0	2	467	174	1	0
-	2	31	1	0	919	254	-8162	0
-	2	31	1	6	465	52	18099	0
-	2	31	1	2	904	251	-6251	0
-	2	31	2	6	55	325	6368	0
-	2	31	2	0	951	238	-13352	0
-	2	31	2	6	941	272	-11221	0
-	2	31	3	7	39	232	10369	0
-	2	31	3	1	27	279	9043	0
#		Mission_32						
-	2	32	0	6	397	157	1	0
-	2	32	0	1	482	295	1	0
-	2	32	0	4	617	384	3	0
-	2	32	1	0	930	288	-11736	0
-	2	32	1	2	53	230	7907	0
-	2	32	1	4	378	56	21483	0
#		Mission_33						
-	2	33	0	7	757	205	1	0
-	2	33	0	3	779	141	3	0
-	2	33	1	4	951	218	-5981	0
-	2	33	1	1	56	336	8231	0
-	2	33	1	0	927	261	-13138	0
-	2	33	2	0	47	333	8031	0
-	2	33	2	4	685	35	19865	0
-	2	33	3	1	42	237	10098	0
-	2	33	3	5	7	224	5755	0
-	2	33	4	0	946	285	-13428	0
#		Mission_34						
-	2	34	0	7	603	277	3	0
-	2	34	0	6	727	520	1	0
-	2	34	1	2	933	219	-9058	0
-	2	34	1	3	210	57	17231	0
-	2	34	1	7	28	317	11262	0
#		Mission_35						
-	2	35	0	1	686	336	3	0
-	2	35	0	0	459	505	1	0
-	2	35	1	7	947	265	-10865	0
-	2	35	1	1	627	24	17915	0
-	2	35	1	5	263	49	16308	0
-	2	35	2	9	929	306	-8979	0
-	2	35	2	6	15	266	7080	0
-	2	35	2	5	952	259	-11973	0
-	2	35	3	2	668	36	19047	0
#		Mission_36						
-	2	36	0	0	700	314	3	0
-	2	36	0	8	112	529	3	0
-	2	36	0	6	818	304	2	0
-	2	36	0	2	173	368	1	0
-	2	36	1	4	57	210	12199	0
-	2	36	1	2	916	308	-10686	0
-	2	36	1	6	698	17	20841	0
#		Mission_37						
-	2	37	0	6	615	131	1	0
-	2	37	0	2	429	127	3	0
-	2	37	0	5	108	466	3	0
-	2	37	0	9	424	247	3	0
-	2	37	1	3	48	267	7099	0
#		Mission_38						
-	2	38	0	8	522	503	2	0
-	2	38	0	1	642	322	3	0
-	2	38	0	1	152	279	1	0
-	2	38	1	9	444	6	16719	0
-	2	38	1	2	953	200	-4783	0
-	2	38	1	7	26	259	11067	0
-	2	38	2	8	479	29	15509	0
-	2	38	2	8	507	37	17625	0
-	2	38	3	8	332	8	16626	0
-	2	38	3	4	17	254	7928	0
#		Mission_39						
-	2	39	0	8	448	408	1	0
-	2	39	0	3	492	271	3	0
-	2	39	0	0	395	157	3	0
-	2	39	0	7	591	263	1	0
-	2	39	1	7	58	306	7724	0
-	2	39	1	9	555	23	13969	0
-	2	39	2	5	22	265	8228	0
-	2	39	2	0	24	292	4540	0
-	2	39	3	5	17	239	6784	0
-	2	39	3	2	928	213	-8357	0
#		Mission_40						
-	2	40	0	4	139	239	1	0
-	2	40	0	3	803	462	3	0
-	2	40	0	1	663	465	2	0
-	2	40	0	0	129	511	2	0
-	2	40	0	7	366	413	2	0
-	2	40	1	5	908	322	-12592	0
-	2	40	2	2	949	207	-12954	0
-	2	40	2	8	25	217	10606	0
-	2	40	2	9	16	218	8315	0
#		Mission_41						
-	2	41	0	1	728	302	1	0
-	2	41	0	8	451	448	1	0
-	2	41	0	9	802	517	2	0
-	2	41	0	9	143	445	3	0
-	2	41	1	7	622	24	13991	0
-	2	41	1	2	4	284	6442	0
-	2	41	1	3	911	323	-13481	0
-	2	41	2	5	43	284	11187	0
-	2	41	2	3	948	263	-8901	0
-	2	41	2	7	938	320	-5375	0
#		Mission_42						
-	2	42	0	4	331	461	2	0
-	2	42	0	0	259	520	2	0
-	2	42	1	1	47	339	11682	0
-	2	42	1	3	580	14	15354	0
-	2	42	1	6	23	322	5282	0
#		Mission_43						
-	2	43	0	1	352	401	3	0
-	2	43	0	2	196	164	2	0
-	2	43	0	9	661	487	1	0
-	2	43	1	6	38	203	11434	0
-	2	43	1	1	951	230	-4971	0
-	2	43	1	1	56	255	10223	0
-	2	43	2	2	481	29	14498	0
-	2	43	2	7	748	28	16435	0
-	2	43	2	8	203	47	13973	0
#		Mission_44						
-	2	44	0	7	780	185	3	0
-	2	44	0	7	676	175	2	0
-	2	44	0	8	684	280	3	0
-	2	44	0	9	191	441	1	0
-	2	44	0	2	259	494	1	0
-	2	44	1	2	664	33	18352	0
-	2	44	1	6	9	209	6222	0
#		Mission_45						
-	2	45	0	3	127	445	3	0
-	2	45	0	1	420	478	1	0
-	2	45	0	6	510	109	3	0
-	2	45	0	4	518	490	3	0
-	2	45	0	4	817	331	3	0
-	2	45	1	8	954	208	-11302	0
-	2	45	1	7	918	336	-9850	0
#		Mission_46						
-	2	46	0	4	492	214	1	0
-	2	46	0	6	400	265	1	0
-	2	46	0	4	762	499	1	0
-	2	46	0	0	154	506	1	0
-	2	46	1	6	414	51	19190	0
-	2	46	2	2	218	20	16171	0
-	2	46	2	4	26	328	9703	0
-	2	46	2	0	55	312	8043	0
#		Mission_47						
-	2	47	0	5	472	408	2	0
-	2	47	0	7	398	430	1	0
-	2	47	1	1	924	298	-6633	0
#		Mission_48						
-	2	48	0	8	111	114	3	0
-	2	48	0	1	419	295	3	0
-	2	48	1	7	936	207	-11353	0
-	2	48	2	3	931	321	-9856	0
-	2	48	2	7	19	311	13114	0
-	2	48	2	6	627	58	14181	0
#		World_03						
#		Mission_01						
-	3	1	0	7	658	245	2	0
-	3	1	0	5	203	190	2	0
-	3	1	1	4	25	243	13102	0
-	3	1	2	3	928	303	-7882	0
-	3	1	2	6	48	272	8110	0
-	3	1	2	3	215	27	19140	0
#		Mission_02						
-	3	2	0	8	371	321	1	0
-	3	2	0	2	398	339	2	0
-	3	2	0	2	122	123	1	0
-	3	2	0	1	206	306	1	0
-	3	2	0	3	144	357	1	0
-	3	2	1	4	943	268	-11743	0
-	3	2	1	5	935	271	-7907	0
-	3	2	1	9	337	10	22260	0
-	3	2	2	9	232	13	18217	0
-	3	2	2	6	910	317	-12300	0
-	3	2	2	4	918	265	-11579	0
-	3	2	3	9	42	293	11929	0
-	3	2	4	4	928	221	-12577	0
#		Mission_03						
-	3	3	0	7	450	540	2	0
-	3	3	0	5	553	391	2	0
-	3	3	0	4	191	119	2	0
-	3	3	0	0	415	156	3	0
-	3	3	0	2	639	165	2	0
-	3	3	1	7	11	225	9929	0
-	3	3	1	8	242	49	17195	0
-	3	3	1	3	572	33	21771	0
#		Mission_04						
-	3	4	0	7	501	511	1	0
-	3	4	0	5	513	372	2	0
-	3	4	1	8	910	214	-8607	0
-	3	4	1	7	931	292	-6240	0
-	3	4	1	2	374	12	21939	0
-	3	4	2	6	935	339	-8931	0
-	3	4	2	3	353	9	14705	0
-	3	4	2	1	930	280	-7068	0
#		Mission_05						
-	3	5	0	4	119	531	1	0
-	3	5	0	6	109	175	1	0
-	3	5	0	6	662	113	3	0
-	3	5	0	3	555	442	1	0
-	3	5	0	1	343	520	2	0
-	3	5	1	4	943	316	-13054	0
#		Mission_06						
-	3	6	0	5	606	492	3	0
-	3	6	0	0	687	297	3	0
-	3	6	0	0	104	394	1	0
-	3	6	0	2	574	131	1	0
-	3	6	1	3	597	6	22299	0
-	3	6	1	5	20	270	9330	0
-	3	6	1	4	22	296	11060	0
#		Mission_07						
-	3	7	0	6	443	261	1	0
-	3	7	0	2	128	283	2	0
-	3	7	0	2	141	160	3	0
-	3	7	0	0	480	518	3	0
-	3	7	1	4	904	326	-4632	0
-	3	7	2	2	951	319	-10759	0
-	3	7	2	4	930	211	-11222	0
-	3	7	2	2	947	214	-8894	0
-	3	7	3	6	33	247	8901	0
-	3	7	3	3	909	337	-13138	0
#		Mission_08						
-	3	8	0	2	834	486	3	0
-	3	8	0	5	300	432	2	0
-	3	8	0	7	310	213	1	0
-	3	8	0	8	603	350	3	0
-	3	8	0	8	726	349	3	0
-	3	8	1	2	946	338	-6488	0
-	3	8	1	2	716	22	22037	0
#		Mission_09						
-	3	9	0	8	594	266	1	0
-	3	9	0	1	497	263	1	0
-	3	9	0	9	625	117	1	0
-	3	9	1	6	457	8	14675	0
-	3	9	1	1	907	222	-10819	0
-	3	9	2	9	7	309	11182	0
#		Mission_10						
-	3	10	0	7	839	316	3	0
-	3	10	0	2	576	166	3	0
-	3	10	1	7	933	316	-5328	0
#		Mission_11						
-	3	11	0	2	200	501	2	0
-	3	11	0	8	268	141	3	0
-	3	11	0	6	500	527	3	0
-	3	11	1	3	906	245	-9875	0
-	3	11	2	1	718	52	21044	0
-	3	11	2	9	922	291	-4669	0
#		Mission_12						
-	3	12	0	1	108	508	3	0
-	3	12	0	2	656	315	1	0
-	3	12	1	2	505	39	14524	0
-	3	12	1	8	9	208	13061	0
-	3	12	2	3	457	52	15172	0
-	3	12	2	8	404	25	20191	0
-	3	12	3	2	943	285	-12293	0
-	3	12	3	7	947	291	-6487	0
-	3	12	4	8	938	243	-7911	0
-	3	12	4	5	43	250	5595	0
#		Mission_13						
-	3	13	0	0	317	525	2	0
-	3	13	0	0	582	536	3	0
-	3	13	0	7	560	430	1	0
-	3	13	0	8	586	331	1	0
-	3	13	1	7	929	306	-8316	0
-	3	13	1	7	941	272	-9898	0
-	3	13	2	1	4	296	8259	0
-	3	13	3	4	562	19	20044	0
-	3	13	3	1	588	29	18894	0
-	3	13	4	4	955	230	-11631	0
#		Mission_14						
-	3	14	0	8	797	279	3	0
-	3	14	0	0	491	475	2	0
-	3	14	1	5	949	305	-7176	0
-	3	14	1	9	9	221	10468	0
-	3	14	2	4	912	271	-13155	0
-	3	14	2	0	925	270	-8896	0
-	3	14	2	2	38	261	10230	0
-	3	14	3	6	912	231	-11555	0
-	3	14	3	4	445	59	18012	0
#		Mission_15						
-	3	15	0	6	490	220	2	0
-	3	15	0	8	574	471	1	0
-	3	15	0	3	548	203	1	0
-	3	15	1	2	569	38	15450	0
-	3	15	2	6	33	284	4569	0
-	3	15	2	3	940	215	-9878	0
-	3	15	2	3	33	336	9371	0
#		Mission_16						
-	3	16	0	2	772	475	3	0
-	3	16	0	1	816	221	1	0
-	3	16	0	0	560	173	1	0
-	3	16	1	7	503	7	17621	0
-	3	16	1	5	930	214	-10724	0
-	3	16	2	3	907	237	-4571	0
-	3	16	2	5	917	330	-10152	0
-	3	16	2	2	253	40	14595	0
-	3	16	3	5	8	254	11811	0
-	3	16	3	1	14	212	9510	0
-	3	16	3	0	19	220	7883	0
#		Mission_17						
-	3	17	0	5	533	168	1	0
-	3	17	0	4	628	531	3	0
-	3	17	0	2	742	169	1	0
-	3	17	1	4	943	235	-8689	0
-	3	17	2	6	55	305	11479	0
-	3	17	2	3	424	54	21648	0
-	3	17	2	1	35	300	11412	0
-	3	17	3	3	928	262	-5519	0
-	3	17	3	5	512	42	15408	0
-	3	17	3	0	932	263	-10660	0
-	3	17	4	0	937	224	-8234	0
#		Mission_18						
-	3	18	0	1	780	539	3	0
-	3	18	0	1	272	219	3	0
-	3	18	1	4	44	323	7234	0
-	3	18	1	8	395	8	17116	0
-	3	18	1	1	933	207	-9173	0
-	3	18	2	7	11	202	9210	0
-	3	18	2	6	356	53	21718	0
-	3	18	3	0	385	7	21206	0
#		Mission_19						
-	3	19	0	9	819	506	2	0
-	3	19	0	7	389	448	1	0
-	3	19	0	9	537	538	3	0
-	3	19	0	5	712	455	2	0
-	3	19	0	6	764	284	2	0
-	3	19	1	3	18	287	8261	0
-	3	19	1	9	413	38	14702	0
-	3	19	1	0	52	268	12338	0
-	3	19	2	2	315	50	19163	0
-	3	19	2	2	56	288	11627	0
-	3	19	3	3	486	19	20136	0
-	3	19	3	5	289	14	13554	0
-	3	19	4	6	241	53	14070	0
-	3	19	4	3	905	295	-13106	0
#		Mission_20						
-	3	20	0	3	341	150	2	0
-	3	20	0	3	682	235	2	0
-	3	20	1	6	926	277	-9648	0
-	3	20	2	7	394	45	18041	0
-	3	20	2	8	210	20	18961	0
-	3	20	3	7	610	46	18239	0
-	3	20	4	9	911	278	-7413	0
#		Mission_21						
-	3	21	0	8	858	401	1	0
-	3	21	0	5	675	388	3	0
-	3	21	1	5	601	33	18123	0
-	3	21	1	9	265	10	13731	0
